YEAR,MO,DY,HR,Solar,Temperature,Humidity,Wind,Datetime,TempCorrection,PV_Power_W,PV_Energy_Wh,Pump_Wh,Fan_Wh,LED_Wh,Load_Wh,Charge_Wh,Discharge_Wh,SOC,Rule_Decision,Rule_Efficiency,Adaptive_Score,Adaptive_Decision,Adaptive_Efficiency,Improvement_%,Rule_Eff_Run,Adaptive_Eff_Run,SOC_Run
2024,1,1,0,0.0,25.17,96.57,2.21,2024-01-01 00:00:00,0.999235,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,88.66,Battery Mode,0.0,58.89,Priority Pump,0.0,0.0,0.0,0.0,89.02867188120709
2024,1,1,1,0.0,25.12,96.36,2.23,2024-01-01 01:00:00,0.99946,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,77.33,Battery Mode,0.0,54.33,Priority Pump,0.0,0.0,0.0,0.0,77.65155872517194
2024,1,1,2,0.0,25.05,96.29,2.2,2024-01-01 02:00:00,0.999775,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,65.99,Battery Mode,0.0,49.76,Priority Pump,0.0,0.0,0.0,0.0,66.26440398647479
2024,1,1,3,0.0,24.98,96.15,2.12,2024-01-01 03:00:00,1.00009,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,54.66,Battery Mode,0.0,45.19,Priority Pump,0.0,0.0,0.0,0.0,54.887290830439646
2024,1,1,4,0.0,24.89,96.11,2.01,2024-01-01 04:00:00,1.000495,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,43.32,Battery Mode,0.0,40.61,Priority Pump,0.0,0.0,0.0,0.0,43.50013609174251
2024,1,1,5,6.88,24.88,96.04,1.86,2024-01-01 05:00:00,1.00054,0.6883715199999999,0.6883715199999999,1.8,0.0,24.0,25.8,0.0,26.43,32.29,Battery Mode,2.668106666666666,36.4,Emergency Mode,4.45,1.781893333333334,2.7235801555038615,4.496260711464344,32.42427041556707
2024,1,1,6,101.12,25.95,93.43,2.05,2024-01-01 06:00:00,0.995725,10.0687712,10.0687712,1.8,0.0,19.2,21.0,0.0,11.51,27.47,Emergency,47.94652952380953,38.8,Emergency Mode,79.91,31.963470476190466,48.9434016892107,80.74071762991365,27.584227572487688
2024,1,1,7,283.17,26.88,88.68,2.77,2024-01-01 07:00:00,0.99154,28.07743818,28.07743818,1.8,0.0,19.2,21.0,6.72,0.0,30.25,Normal Mode,100.0,45.84,Priority Pump,100.0,0.0,100.0,100.0,30.37578755252103
2024,1,1,8,473.83,27.87,83.23,3.15,2024-01-01 08:00:00,0.987085,46.77104855499999,46.77104855499999,1.8,2.4,14.4,18.6,26.76,0.0,41.39,Normal Mode,100.0,56.99,Priority Pump,100.0,0.0,100.0,100.0,41.56211063797836
2024,1,1,9,662.58,28.84,77.85,3.0,2024-01-01 09:00:00,0.98272,65.11306176000001,65.11306176000001,3.6,2.4,7.2,13.2,49.32,0.0,61.91,Normal Mode,100.0,71.58,Adaptive Saving,100.0,0.0,100.0,100.0,62.1674382603827
2024,1,1,10,758.7,29.48,74.65,2.87,2024-01-01 10:00:00,0.97984,74.3404608,74.3404608,3.6,4.8,0.0,8.4,62.64,0.0,88.0,Normal Mode,100.0,85.54,Normal Operation,100.0,0.0,100.0,100.0,88.36592742551572
2024,1,1,11,810.0,29.78,73.17,2.81,2024-01-01 11:00:00,0.97849,79.25769,79.25769,3.6,4.8,0.0,8.4,67.31,0.0,100.0,Normal Mode,100.0,91.73,Normal Operation,100.0,0.0,100.0,100.0,100.0
2024,1,1,12,731.8,29.9,72.75,2.72,2024-01-01 12:00:00,0.97795,71.566381,71.566381,3.6,4.8,0.0,8.4,60.01,0.0,100.0,Normal Mode,100.0,89.32,Normal Operation,100.0,0.0,100.0,100.0,100.0
2024,1,1,13,632.62,29.81,73.29,2.64,2024-01-01 13:00:00,0.978355,61.89269400999999,61.89269400999999,3.6,4.8,7.2,15.6,43.98,0.0,100.0,Normal Mode,100.0,84.95,Normal Operation,100.0,0.0,100.0,100.0,100.0
